Keyword,Score
mim,4.100250028881538
muntah,4.09575935529279
tingkat,4.093179795757892
stop,4.092755318226778
giring,4.091931715593511
awam,4.091148786263607
bos,4.065383986595073
lembur,4.064446565182306
duru,4.044154096826932
wi,4.0386455464196205
konsisten,4.0371967518378336
premi,4.017179427747285
saraf,4.009342519924825
gubernur,3.988253267456962
gajah,3.983175698535547
kati,3.952014159764698
samping,3.9328777170451925
tos,3.9061096415765038
mekanisme,3.8977923430488874
barusan,3.882495133632769
manusia,3.869420548278825
korupsi,3.8693973601098284
rebah,3.8615124032722536
ajak,3.853889493682921
santun,3.8415086587502913
lapis,3.83958565726694
dapat,3.8330548719366124
sedia,3.8313886837821354
bingung,3.826510813497691
dosa,3.8226796531379934
rona,3.8193723668741586
gin,3.817082699748064
keluh,3.7998709234816532
utama,3.7997915744162705
emosi,3.78660946865657
ceria,3.7850327961065813
komentar,3.784421259280218
juli,3.7786892578603064
arsitek,3.7766648046433615
rang,3.7759335073543983
anggara,3.7694031069041087
ambil,3.7676797305922975
masalah,3.7659788408113357
waras,3.762113544645598
pegawai,3.75455432334414
merah,3.7459764449781483
kesal,3.7380219325148305
favorit,3.737969781878431
hilang,3.735768059213008
pasang,3.733454336778011
abc,3.7311981593647743
insiden,3.7270184663823587
bebas,3.726910521262981
wujud,3.710877977824551
koperasi,3.708857615556321
komplit,3.700418136826611
fungsi,3.691058581945384
banyak,3.67491673273212
debut,3.6630345394538293
bulan,3.658408674962687
kreatif,3.6579296426074355
kunci,3.6451146443439892
bangga,3.6426225531950025
maman,3.6418732347132123
kring,3.6294299606498743
cema,3.6231700093765324
miskin,3.621935468025658
metro,3.619742246696485
alangkah,3.6065238711456926
musik,3.5960044873007666
kiper,3.5957335585599504
dinamika,3.5956127535433566
sambi,3.591862302921321
aktiva,3.5864358351036323
dana,3.576486465729339
bijak,3.5714499228490872
nomer,3.569474535672189
genggam,3.569115781472448
sea,3.5622798531280067
boh,3.550252384124889
tiap,3.547652387984558
kapur,3.538520356789686
pasca,3.5375331060291684
dekat,3.536136798588258
nyaman,3.524027796336016
stroberi,3.5211408289314714
generik,3.5207154227338266
alam,3.5106743559702913
optimis,3.5087293304417106
gembira,3.508446419334652
retur,3.505148285059967
khusus,3.4791509303959285
senantiasa,3.4690347986748695
ibnu,3.468198644406017
ha,3.4501584933614953
ksi,3.4323660378367804
kafilah,3.430983628278121
terang,3.4235000202032047
pontianak,3.412304028360223
jamah,3.401523399000027
balikpapan,3.399079877280869
bongkar,3.390700741649426
masak,3.3869334405439764
desember,3.3784271030296487
manual,3.364522673794903
ti,3.3635852072761665
alas,3.3544350782794154
bisa,3.3442106947927384
adakan,3.3426099136795466
watermark,3.3420792593470496
siswa,3.339977490614652
diskualifikasi,3.333637934792563
aju,3.327801092504348
he,3.3277811888120787
unduh,3.3268289861028637
tentu,3.3212705480145637
wajah,3.3207868814862582
beli,3.3188335551815964
kredit,3.3183207895193356
sabun,3.3154409365161315
junior,3.3138082618574636
situ,3.30399954907767
komprehensif,3.297359129806232
an,3.2950816419255875
kupon,3.28326006295245
kakakknya,3.2817537104528167
proses,3.2809379001782384
fakta,3.276302821876519
lahap,3.26564610937501
kelola,3.264834428972312
trombosit,3.263344283427049
hasil,3.2621319115821303
tangguh,3.260920580353334
karyawan,3.259997654848211
sosial,3.258723620434673
pilih,3.2502712059339744
strategi,3.2481189259184107
tiru,3.2438041036999605
hebat,3.237982912910611
os,3.2357543042745185
lak,3.230324040953683
mulut,3.218454911979152
atas,3.2147363407149863
senin,3.204168067070299
roti,3.1923585471651243
korup,3.1912552668017033
kenan,3.1806443454777
nia,3.17657456465351
hospital,3.1720577022827454
alia,3.1720577022827454
